Symbol1	Symbol2	Edge_Sign
MRG15	Vha55	+
CG42313	sec63	+
CG11327	Hsc70-3	-
CG11327	Lk6	+
CG11327	RpL7A	-
CG11327	Faa	+
CG11327	Set	-
CG11327	Wwox	+
CG11327	CG31523	-
CG11327	RpL35	-
Top3beta	CG42613	+
CG7609	par-1	+
CG7609	CG7033	+
fz2	G-oalpha47A	+
fz2	Grip	+
SelD	Mical	+
mRpL39	RpL3	+
CG4692	CG3321	+
CG4692	CG5645	+
sala	bmm	-
skap	Droj2	-
skap	Gfat2	+
skap	CG33303	+
skap	CG4169	-
CG10654	spn-F	+
GstZ1	tmod	+
RnrL	RnrS	+
ecd	CG1965	+
ecd	CG6674	-
ecd	CG14353	+
ecd	Prp8	+
Ssl1	Tfb4	+
Ssl1	mus304	-
Fs(2)Ket	Kap-alpha3	+
Fs(2)Ket	CG9723	+
Fs(2)Ket	sbr	+
Fs(2)Ket	RanGap	+
Fs(2)Ket	Nxt1	+
HDAC6	CG6701	-
CG1635	dah	+
CG17266	Prp18	-
osa	bdg	-
osa	Bap60	+
osa	ebi	-
osa	polybromo	+
RpL17	Spx	+
RpL17	dimm	-
RpL17	dl	+
RpL17	imd	-
RpL17	CG7196	-
Su(Tpl)	CG34355	+
Su(Tpl)	tsh	+
Su(Tpl)	cv-c	+
sol	CG17377	-
sol	CG9426	-
sns	TfIIA-L	-
CG13476	CG34404	-
CG13476	ncd	+
CG13476	CG3894	+
CG12289	wntD	+
CG15124	CSN4	-
Anxb11	MED6	+
CG15717	msi	-
CG15717	Pros35	-
CG15717	Pros25	-
CG15717	Prosbeta7	-
CG43691	CG3847	-
Tango10	mRpL54	+
Tango10	Fer3HCH	+
Clic	CG5044	+
mod(mdg4)	mago	+
Mov34	Rpt3	+
Mov34	eIF3-S8	+
Mov34	Prosalpha7	+
Mov34	Rpn1	+
Mov34	Prosalpha5	+
Mov34	Prosbeta7	+
Mov34	Prosbeta1	+
Mov34	Rpn9	+
Mov34	Rpn5	+
Mov34	Prosbeta3	+
Mov34	Prosbeta2	+
Mov34	Rpn12	+
Mov34	Rpn2	+
Mov34	Pros45	+
Mov34	Tbp-1	+
Mov34	Pros26.4	+
Mov34	Rpn7	+
Mov34	CG17331	+
Mov34	Pros35	+
Mov34	Rpn3	+
Mov34	Pros29	+
Mov34	Pros25	+
Mov34	Rpn6	+
Mov34	Rpt4	+
Mov34	CG3731	+
Mov34	Prosbeta5	+
Galpha49B	Plc21C	+
Galpha49B	norpA	+
CG1492	CG3262	+
Snoo	Med	+
CG13636	RpL14	-
Nipped-A	Spt3	+
Map205	Dp1	-
Flo-1	CG10103	+
CG11395	CG7080	+
CG11395	CG6996	+
Src42A	Hrb87F	-
Src42A	cnk	+
Src42A	Dok	+
ttv	hh	+
MED24	CG7185	+
MED24	MED17	+
CG10600	Rab26	+
CG5033	Rbm13	+
CG5033	CG6724	+
CG5033	RpL7-like	+
Spf45	capt	-
Spf45	CG11777	+
Spf45	B52	+
CG5961	polo	-
Roc1a	ci	-
Roc1a	Cul-4	+
CG17219	TwdlL	-
ftz	CG43427	+
CG5946	CG1598	+
CG15118	Saf-B	-
CG15118	Tbp-1	+
CG3605	Spx	+
CG3605	AP-50	-
CG3605	aru	-
mars	Pp1-87B	+
CG13713	zf30C	+
CG13713	CG2116	-
per	cyc	-
per	Clk	-
per	CG7203	-
CycE	E2f	+
CycE	brm	+
CycE	Cul-4	+
CycE	Skp2	+
CycE	CycA	+
CycE	CG7386	-
CycE	glec	-
CycE	mi	-
CycE	mnb	+
CycE	cg	+
CG10681	CG1091	+
CG10395	CG9331	+
por	Wnt6	+
por	Wnt5	+
por	wntD	+
por	Wnt10	+
por	Wnt2	+
por	wg	+
CG34168	disco	-
CG10005	CG18745	-
Pdsw	CG1970	+
Mlp84B	CG13830	-
CG3815	CG1129	+
CG17829	Pros54	-
rdgB	CG1513	-
CG3621	RpS3	-
bys	CG11837	+
AnnX	Ef2b	+
MED17	MED26	+
MED17	MED7	+
MED17	MED25	+
MED17	MED21	+
MED17	MED22	+
MED17	MED6	+
RpL39	CG7379	+
CG3523	Gfat2	+
CG3523	CG6370	+
CG3523	MRP	-
CG3523	Pp2A-29B	-
CG3523	Rpn1	+
CG3523	CG33303	+
CG3523	Tcp-1eta	+
eIF-3p66	CG2061	-
Pep	Hrb87F	+
Pep	CG6701	+
Pep	Trn	+
RpII215	CG7379	+
RpII215	Cdk8	+
RpII215	Rtf1	+
Pvf2	CG34168	+
Pvf2	Mst84Db	-
Pvf2	CG4328	+
Gadd34	Hsp68	-
aret	CG11107	+
Cdk8	CG7185	-
Cdk8	CycC	+
Cdk8	MED18	-
Cdk8	MED15	+
Cdk8	MED8	-
Cdk8	CG34159	-
Cdk8	MED7	+
Cdk8	kto	+
Cdk8	MED17	+
Cdk8	MED11	+
Cdk8	MED14	+
Cdk8	MED30	+
CoVa	CG4692	+
CoVa	Act5C	+
CoVa	Nmd3	+
CoVa	lwr	-
CoVa	RpL9	+
CoVa	RpS28b	+
fra	spheroide	-
Rpt4R	Int6	-
Rpt4R	Pk34A	+
Rpt4R	Tbp-1	+
Rpt4R	Pros26.4	+
ple	Nc	-
ple	Pka-C1	-
ple	CG11700	+
ple	hb	-
ple	Map60	+
Crc	Gp93	+
Crc	Trxr-1	+
Crc	fax	+
Crc	smt3	+
Crc	Chd64	+
Crc	CG1092	+
S6kII	Myt1	-
S6kII	BubR1	+
S6kII	gig	-
S6kII	Bub1	+
MED18	MED27	+
MED18	CG7185	-
MED18	MED4	+
MED18	MED8	+
elm	NFAT	+
Pten	Pdk1	-
Mlc1	CG5522	-
Mlc1	Prm	+
Mlc1	Lis-1	-
Mlc1	mol	-
Mlc1	CG16885	-
Mlc1	CG4769	+
Mlc1	Pdsw	+
Mlc1	Tm2	+
Mlc1	CG4962	+
Mlc1	ATPsyn-b	+
stc	l(2)NC136	+
CG1637	mts	+
GstO3	CG16817	+
GstO3	CG10638	+
GstO3	GstO1	+
GstO3	CG8036	+
GstO3	TER94	+
GstO3	Trx-2	-
Hrs	kto	+
Hrs	FBX011	-
Dip3	rev7	-
Dip3	Fer3HCH	+
Dip3	lwr	+
Arr2	ninaE	-
phl	BM-40-SPARC	+
phl	Rpn1	-
phl	PpV	+
phl	betaCop	+
phl	Tbp-1	+
phl	CG10289	+
phl	sesB	+
phl	ksr	+
phl	ksr	+
phl	hpo	-
phl	CG7949	+
phl	RpL28	+
phl	Nup50	-
phl	csw	+
phl	csw	+
CG17184	CG18745	-
ppan	CG16753	-
RpS26	Gsc	-
RpS26	gammaCop	+
RpS26	dl	+
RpS26	star1	-
RpS26	CG10510	+
RpS26	CG4887	-
RpS26	CG8230	+
RpS26	CG9986	-
RpS26	garz	+
RpS26	CG14543	+
RpS26	CG11275	-
RpS26	CG13287	-
RpS26	CG3880	-
Kif3C	IntS1	-
esn	Axn	-
Rpb8	Rpb5	+
Rpb8	RpI1	+
RpL11	pit	+
RpL11	CG6937	+
RpL11	ns1	+
RpL11	CG8801	+
CSN1a	Ada2b	-
Mcm7	Hsc70-1	-
La	RpL13A	-
CG9920	CG11267	+
su(Hw)	CG11266	+
su(Hw)	mod(mdg4)	+
su(Hw)	CG9797	+
su(Hw)	Zn72D	+
su(Hw)	Syp	-
su(Hw)	Jupiter	+
CG18135	RpS2	-
CG18135	star1	+
Nuf2	Ndc80	+
CG2469	hyx	+
CG2469	Rpt1	-
Cpr11B	CG34227	-
Cpr11B	desat1	-
CG1600	glo	+
srpk79D	CG2807	-
srpk79D	CG31140	-
az2	Nup358	+
az2	CG18745	+
az2	lwr	+
az2	CG7112	+
SmD3	CG6905	+
SmD3	SmD2	+
SmD3	icln	+
SmD3	snRNP-U1-70K	+
SmD3	Hsc70-1	+
SmD3	SmG	+
CG1750	noi	+
CG4768	CG15822	-
cpb	RpS18	-
cpb	RpL12	-
eff	UbcD2	-
eff	CG9014	-
Nc73EF	Pdsw	+
Chc	Rab1	+
Chc	blw	+
Chc	Kr-h2	+
Chc	Gie	-
Chc	Pp2A-29B	+
Chc	Cctgamma	-
Chc	Tbp-1	-
Chc	Pros26.4	-
Chc	RpS10b	+
Chc	Nup358	+
Chc	Sc2	-
Chc	r	+
Chc	Psa	-
tef	B52	+
tef	lwr	+
betaCop	Kap-alpha3	+
betaCop	CG3523	+
betaCop	Rpn1	+
HLHm3	h	+
Ephrin	wor	+
pigeon	RpL10	-
geminin	row	+
geminin	CG8079	-
geminin	CG6333	+
geminin	grau	+
geminin	ctp	+
geminin	nxf2	+
tsh	Imp	-
RluA-1	RpLP0	-
RluA-1	CycG	+
Sry-alpha	Rack1	-
Sry-alpha	Xe7	+
upd2	dome	+
Acp1	Obp56d	-
Acp1	CG7203	+
cry	tim	-
eIF-4E	eIF4G	+
eIF-4E	Lk6	-
eIF-4E	eIF-4B	+
Syx18	Ykt6	+
Syx18	Vti1	+
Syx18	Snap	+
mip40	Tequila	-
CG4603	Gapdh2	-
Cyp9b2	CG3523	-
mof	His4r	+
da	ac	+
da	ato	+
da	HLHmgamma	+
btz	meso18E	+
btz	CG5815	-
rl	cindr	-
rl	aop	-
rl	CG1678	+
rl	Hsc70-2	-
rl	S6kII	+
rl	brm	-
rl	lkb1	+
rl	pav	+
rl	Hsp68	+
rl	mask	+
rl	CalpB	-
rl	cic	+
rl	Act5C	+
rl	Hsc70-5	-
rl	Dsor1	+
rl	Dsor1	+
rl	Syp	+
rl	Lk6	+
rl	Lk6	+
rl	Cf2	-
rl	CG5004	-
rl	pnt	+
rl	pnt	+
rl	gig	-
rl	Hsc70-4	+
rl	T-cp1	+
rl	gw	+
rl	PTP-ER	-
rl	hyd	+
rl	kay	+
Fer1HCH	Fs(2)Ket	+
Fer1HCH	CG7203	-
Snr1	mor	+
Snr1	CG7185	+
Snr1	Bap60	+
Snr1	CG43444	+
Snr1	Nup358	+
Snr1	Zif	-
Snr1	cpa	-
Snr1	CG1826	+
Snr1	CG18135	-
Snr1	CG42331	+
Snr1	Lin29	-
Snr1	MED8	-
Snr1	RpS3A	+
Snr1	sol	+
Snr1	CG5525	+
Snr1	CG1461	-
Snr1	dalao	+
Snr1	bru	-
Snr1	ed	-
mRpS17	zye	+
CG7741	mus209	-
RpL14	CG9986	-
Cat	CG16826	+
lin19	skpA	+
lin19	ci	-
lin19	CycE	-
Cen	row	+
Cen	HP1e	+
Cen	tlk	+
Cen	mnb	-
Cen	CG6415	+
Cen	geminin	+
Cen	Ubpy	+
CG42500	CG7368	-
Ost48	Mpcp	+
Ost48	CG4692	+
Ost48	Surf4	-
Ost48	Pp2A-29B	+
CG13023	CG13868	+
CG6196	RpLP0	-
CG6196	Bet3	+
CG11190	Arf102F	+
sc	da	+
sc	HLHmgamma	+
sisA	CG31999	+
sisA	Vps20	+
CG15443	RpS3A	+
CSN3	CSN7	+
CSN3	noi	-
Ndae1	Rack1	-
Syx8	Ykt6	+
Syx8	Vti1	-
Syx8	CG2023	-
Syx8	koko	-
Syx8	Snap	-
Syx8	Bet1	+
Syx8	CG4960	+
ball	CG32344	+
CG11727	CG5280	-
CG15071	crl	-
br	mts	-
Rrp45	Rrp4	+
CG43129	Rab26	-
CG43129	Ada2b	-
Fim	TER94	+
RpL7	MED4	+
RpL7	CG2061	-
RpL7	RpL35A	+
RpL7	vig	-
RpL7	Tsc1	+
PNUTS	Pp1alpha-96A	-
Rgk3	Ten-a	-
Kr-h1	pzg	+
Kr-h1	CG9797	+
Kr-h1	U2af38	+
Kr-h1	Srp54	+
Kr-h1	Arpc1	+
Glt	CaBP1	-
Glt	Vps4	+
Glt	vkg	+
Glt	CG9467	-
Glt	CG33303	-
Glt	CG6370	+
Glt	bor	+
Glt	CG5792	-
CG12645	mod(mdg4)	+
TER94	Pros26.4	+
CG13996	HLH4C	+
Su(fu)	ci	-
Su(fu)	fu	-
Su(fu)	fu	-
Lap1	CG2233	-
Lap1	CG13623	-
Lap1	Not1	-
ptip	CG32479	+
CG10139	RpS23	-
Klp67A	lwr	+
CG12428	CG9014	+
Wnt2	fz2	+
Wnt2	fz	+
Wnt2	fz3	+
Wnt2	arr	+
CG11137	CG2943	+
CG11137	CG3678	+
mad2	rap	-
mad2	Doa	+
mad2	CG15475	-
mad2	fzr2	-
mad2	Hsc70-4	+
mad2	Mhcl	-
mad2	SmB	+
CG6321	Fim	+
Hira	Cct5	-
Hira	CG5525	-
Hira	Cctgamma	-
Hira	CG7033	-
Hira	Tcp-1zeta	-
Vha68-1	msi	-
Cip4	WASp	+
Ski6	Rrp40	+
Lin29	eIF3-S10	+
RpS23	CG9797	+
RpS23	CG42369	-
Tsc1	RnrS	+
Actbeta	put	+
Actbeta	babo	+
RpL24-like	eIF6	-
pen-2	Psn	+
d	CG32176	+
hig	CG34398	+
Cpr92F	RpS3	-
Cpr92F	CG9796	+
Cpr92F	mus209	-
MED7	CG1129	-
vnc	alph	-
Cpr64Aa	Ef2b	+
l(1)dd4	CG9850	-
ImpL3	Hel25E	+
Tom	neur	-
fng	Ser	-
fng	N	+
fng	Dl	-
TfIIA-L	vnd	-
TfIIA-L	Tbp	+
Sra-1	SCAR	+
Tfb1	MED4	+
zf30C	cnn	-
Rho1	rok	+
Rho1	capu	+
Rho1	pbl	+
Rho1	CG8446	+
boca	TER94	+
boca	arr	+
CG7197	Arf79F	-
Gbeta76C	Plc21C	+
Gbeta76C	norpA	+
Arf102F	Droj2	+
Arf102F	CG7787	-
Arf102F	KdelR	+
CG12661	CG15529	-
Ref1	CG9775	+
Ref1	CG17003	+
for	lola	+
for	RpS3	-
robl	CG31029	-
Spc25	Ndc80	+
Bap55	DMAP1	+
Bap55	MED14	-
lwr	Aos1	+
lwr	Uba2	+
lwr	smt3	+
lwr	jumu	-
lwr	CG13511	-
CG17776	CG17841	-
CG13894	bip2	+
Fkbp13	Nurf-38	+
Fkbp13	dUTPase	-
Fkbp13	CG8036	-
Fkbp13	CG8209	+
Fkbp13	Pdi	+
Fkbp13	regucalcin	+
Fkbp13	GstE6	+
Fkbp13	CG10638	+
Fkbp13	CG8993	-
CG11000	CG18011	+
Hdac3	bdg	-
Hdac3	CG7033	+
Hdac3	Tcp-1zeta	-
baf	bocksbeutel	+
Doa	Pp1-87B	+
Doa	lwr	-
Doa	toy	+
Doa	ClC-a	-
Doa	CG4858	+
Doa	CG11266	-
Doa	Ubp64E	-
Doa	mnb	+
Doa	CG18273	-
MrgBP	pont	+
MrgBP	DMAP1	+
NaCP60E	Sec61alpha	+
CG15800	e(r)	+
CG15800	Npl4	-
RpL40	eff	+
RpL40	Pros54	+
RpL40	CG3847	+
RpL40	star1	-
RpL40	CG3353	-
RpL40	CG6805	-
Gos28	ClC-b	-
Gos28	CG12576	+
Gos28	Ndae1	+
CG7879	CG9426	+
CG7879	CG8407	-
Mpcp	ATPsyn-gamma	+
Mpcp	Tcp-1zeta	-
Mpcp	CG4169	+
Dbp45A	geminin	+
Or33a	Taf12	-
gcm2	CG5804	+
CG17018	Spx	+
pnt	br	-
pnt	aop	+
pnt	Jra	+
Pp2B-14D	CanB2	+
Pp2B-14D	Rpn1	+
Pp2B-14D	NFAT	+
Pp2B-14D	Pros26	+
CG3788	CG8620	+
CG3788	CG4269	+
CanB	NFAT	+
CanB	mts	-
awd	capt	+
awd	TER94	+
awd	Pdi	-
awd	Akap200	+
awd	eIF-5A	-
awd	Fkbp13	-
awd	RpS21	-
awd	CG10638	-
awd	CG32100	-
spn-A	MED26	+
spn-A	blow	+
spn-A	Su(var)2-10	+
Ote	Gnf1	+
Ssadh	Crc	-
CG14104	ERp60	-
CG14104	CG32479	-
CG14104	RpL40	+
Eaf	fs(1)h	+
Eaf	lola	+
Eaf	Taf10b	+
Eaf	dl	-
Eaf	mrn	+
Eaf	CG34420	+
Eaf	CG11138	-
Eaf	Ald	+
Eaf	opa	+
Eaf	CG13511	+
alphaTub84D	CG6020	-
Prosbeta5	Int6	+
Prosbeta5	Rpn12	+
Prosbeta5	Prx2540-2	+
Prosbeta5	CG12321	-
Prosbeta5	CG15717	-
Prosbeta5	Pomp	+
Prosbeta5	LSm1	+
Prosbeta5	Sh3beta	-
Prosbeta5	CG17331	+
Prosbeta5	Pros35	+
Prosbeta5	CG11885	-
Prosbeta5	Pros25	+
Prosbeta5	Pros29	+
Prosbeta5	Prosbeta7	+
CG10306	CG9769	+
CG5009	CG7757	-
CG5009	CG12393	-
CG5009	RpS18	-
CG5009	RpL10Ab	-
CG5009	RpL4	-
CG6950	Tom7	+
CG6553	CG12404	+
CG32086	Klc	+
CG32086	Pros26.4	-
Mer	CG43340	+
Mer	D19A	+
Mer	CG31224	-
Nup358	CG7786	-
CG30054	Plc21C	+
CG30054	norpA	+
MED11	MED7	+
MED11	CG32479	+
MED11	MED17	+
MED11	MED31	-
MED11	MED22	+
csw	qkr58E-2	-
csw	PyK	-
csw	chico	-
csw	dos	+
csw	RpL37a	+
csw	InR	+
csw	vav	-
csw	sty	-
csw	eIF-4a	+
csw	CG4169	+
csw	Nup50	-
CG42331	CG6357	-
Ilp5	InR	+
blow	Pex7	+
Gap1	CG7185	-
Gap1	CG6724	+
Gap1	Prp19	+
Gap1	Tango4	+
Gap1	Nup44A	+
Gap1	RpL21	+
Gap1	vlc	+
Gap1	CG6686	+
Gap1	Hsp83	+
Gap1	sty	+
Gap1	sty	+
Gap1	lds	+
Gap1	CG3605	+
Gap1	hyd	-
Gap1	Ras85D	-
Gap1	RpL24	-
c(3)G	HLH54F	+
c(3)G	RnrL	-
CtBP	gro	-
gw	pAbp	+
gw	ZAP3	+
Zasp66	CG42674	+
Zasp66	mts	-
inx3	CG17331	-
Ilp2	InR	+
Tbp	bip2	+
Tbp	e(y)1	+
Tbp	RpII215	+
CG7757	MED4	+
CG7757	CG10418	+
CG7757	SmG	+
CG7757	CG8319	-
CG7757	CG8801	-
CG7757	CG2021	+
CG7757	CG7967	-
CG7757	SmD2	+
CG7757	CG9344	+
CG18764	CG34404	-
CG6523	cdc2c	-
CG11350	Stam	-
CG11350	CG13321	+
Tm2	CoIV	+
Tm2	ATPsyn-Cf6	+
Tm2	CG4692	+
Tm2	Nc73EF	+
Tm2	ATPsyn-b	+
Tm2	CG7920	+
fzr2	Tcp-1eta	-
pnr	Hsc70-1	+
Nup133	RpL14	+
Pak	Dsor1	+
Gale	Gie	-
Gale	CG4169	+
dom	YL-1	+
dom	MrgBP	+
dom	DMAP1	+
dom	mxc	+
cib	CG16817	-
cib	TER94	+
cib	Tctp	+
cib	CG5355	+
cib	Trx-2	-
cib	Jupiter	+
cib	eIF-5A	+
cib	Act5C	+
cib	Pros35	+
cib	kdn	-
cib	CG2852	+
dod	CG10265	+
dod	eIF-1A	+
dod	Df31	+
dod	smt3	+
dod	pim	+
Dp	E2f	+
Dp	CG8298	+
Dp	CG7546	+
CG9253	CG32344	+
CG9253	ns2	+
CG9253	ns1	+
Cyp6a2	CG3808	+
asp	Cam	+
Clp	Cpsf160	+
Clp	CG11107	+
ran	Nup358	+
ran	Fs(2)Ket	+
ran	Rab5	+
ran	Cp36	+
shi	Dap160	+
shi	CG4476	-
eIF3-S9	CG10306	+
eIF3-S9	eIF3-S8	+
eIF3-S9	CG9769	+
eIF3-S9	CG5642	+
eIF3-S9	eIF3-S10	+
CG15578	HLH4C	+
Cam	CG31033	+
svp	Doa	+
svp	CG6701	-
Snp	CG4627	+
clu	tobi	-
clu	CG10887	+
CG4570	CG7757	+
brn	N	+
Mfap1	mei-S332	-
Bub1	SmD3	+
Bub1	RpL37a	+
Bub1	CG17912	-
Bub1	spz5	+
Bub1	SmB	-
Snap	Ykt6	+
Snap	jp	+
Snap	Vti1	+
Snap	CG3625	-
Snap	CG7218	-
topi	CG8508	+
CG7906	CG14406	-
CG7906	e(y)2	-
CG12034	jp	+
CG2246	CG6767	+
CG3225	Rip11	+
CG3225	RpL3	-
CG3225	RpL27	-
CG3703	CG11138	-
CG30417	CG6770	+
CG13733	RpL23	-
CG13733	RpL3	-
CG10440	lwr	+
Orc6	IntS10	+
ap	CG11266	+
CG31036	Traf-like	+
CG31036	wdb	-
CG31036	CkIIalpha-i3	-
CG10320	Aldh-III	-
CG10320	pcx	-
Baldspot	Bx42	+
CHMP2B	mib2	+
l(1)G0020	CG32344	+
l(1)G0020	Nop56	+
l(1)G0020	CG6937	+
l(1)G0020	CG31694	+
l(1)G0020	ATPCL	+
l(1)G0020	CG4364	+
l(1)G0020	CG8801	+
Axn	dco	+
Axn	arm	-
Axn	arm	-
Axn	Apc2	-
bor	Ski6	+
Arf51F	CG34349	-
Arf51F	RhoGAPp190	-
Hcf	Rpt1	+
CG13901	pont	+
CG13901	rept	+
Rheb	CkIIalpha	+
Rheb	CG3523	+
Rheb	gig	-
Rheb	gig	-
Rheb	Tsc1	-
Rheb	Rab7	+
Rheb	Tor	+
RpL31	CG7987	-
RpL31	Cpr72Ea	-
RpL31	CG3847	+
e(y)1	Rfabg	+
e(y)1	Taf6	+
CG17002	ptip	-
Ilp6	InR	+
CG4302	Hsc70-1	+
CG6712	Aats-glupro	+
scrib	SH3PX1	-
scrib	gukh	-
Pu	ple	+
nvy	Pka-R2	-
Pka-C3	ci	-
pum	brat	+
RpS10b	CG5854	-
RpS10b	stumps	-
RpS10b	Spindly	+
RpS10b	CG6497	-
RpS10b	CG7056	+
RpS10b	CG2064	-
CG1908	CoRest	+
stv	RhoGAP19D	-
BicC	CG8368	-
CG14667	zf30C	+
CG14667	wdb	-
CG14667	RpS3	-
CG14667	betaTub56D	-
CG31291	lva	+
Ulp1	Arp3	+
RpS27	CG31708	-
RpS27	RpII33	+
RpS27	rb	-
RpS27	Lim1	-
RpS27	FK506-bp2	+
Ire1	Xbp1	+
Pli	CG8121	-
Pli	CG6276	+
Pli	RpL32	-
Pli	CG7879	-
Hel25E	Rab1	+
Hel25E	CG10425	-
Hel25E	Sucb	-
Hel25E	CG3523	+
Hel25E	skap	+
Hel25E	B52	+
Hel25E	sec13	+
Hel25E	Rpt1	+
Hel25E	CG8155	-
Hel25E	Gfat2	-
Hel25E	CG6370	+
Hel25E	cathD	-
Hel25E	Sc2	+
Hel25E	CG1416	-
Hel25E	Tcp-1zeta	+
nop5	ns2	-
nop5	CG9253	+
nop5	Nop56	+
nop5	alphaKap4	-
nop5	CG8801	+
PP2A-B'	stumps	+
PP2A-B'	Hsc70Cb	-
Fps85D	CG9014	+
snRNP-U1-C	SmD3	+
snRNP-U1-C	SmD2	+
snRNP-U1-C	SmG	+
CG11107	larp	-
CG10086	CG7180	+
CG14207	pAbp	+
CG14207	Cyp6t3	+
CG14207	Mf	-
CG14207	Mhc	+
CG14207	mts	+
Glycogenin	toc	+
CG31663	CG8298	+
CG31663	CG5568	+
CG31663	Taf6	-
ed	Nrg	-
opa	CG34168	+
opa	vih	+
san	Bap60	+
san	dalao	+
daw	babo	+
CG8944	Cda5	-
CG8944	to	-
ial	barr	+
Mhc	sls	+
Rx	CG12521	-
Rx	rl	+
Rx	Muc4B	+
Rx	ctp	+
rols	CG42336	+
Apc	arm	-
Apc	Axn	+
CG11658	star1	-
CG11523	CG9791	+
CG11523	cdc2	-
CG13097	CG16717	+
CG13097	CG4866	+
wde	egg	+
Dbp73D	nop5	-
Dbp73D	Rs1	+
CG16894	glo	+
CG11092	Got2	-
CG11092	pyd	+
CG6610	LSm1	+
raps	CG6905	+
kl-3	Snp	+
cnn	CG34404	-
cnn	cact	-
cnn	MED4	+
cnn	betaTub56D	-
cnn	aur	-
eIF-3p40	eIF3-S9	+
eIF-3p40	Int6	+
eIF-3p40	eIF3-S10	+
CG2852	eIF-5A	+
CG2852	CG8219	-
CG2852	Der-2	+
CG2852	CG11267	+
pUf68	me31B	+
pUf68	CG7548	-
pUf68	Cpr72Ea	-
pUf68	CG12304	+
pUf68	CG10694	-
pUf68	CG7757	+
pUf68	GstT4	-
pUf68	CG5376	-
pUf68	betaggt-II	-
pUf68	cdc2c	+
pUf68	HP1b	+
pUf68	CG9986	-
pUf68	Trxr-1	+
pUf68	TfIIA-L	+
pUf68	CG17568	+
pUf68	CG3542	+
pUf68	CG31694	+
pUf68	CG3731	+
Tcp-1eta	Pp2A-29B	+
Tcp-1eta	Karybeta3	+
ptc	smo	-
ptc	fz2	+
ptc	zf30C	+
ptc	CG5568	-
ptc	mys	-
ptc	CG12723	+
ptc	CG12299	+
ptc	CG8184	-
ptc	rdgA	+
ptc	CG34133	-
ptc	CG7296	-
ptc	CG42565	+
ptc	sip3	-
ptc	CG13900	-
ptc	Moe	-
ptc	Pof	+
ptc	zormin	+
CG14545	CG11700	-
IP3K2	Taf12	-
IP3K2	ABCB7	-
IP3K2	Cam	+
IP3K2	yuri	+
thr	Sse	+
thr	pim	+
Srp54	pUf68	+
Dl	CG34422	-
Dl	CG34376	+
Dl	CG7714	-
Dl	N	+
hoip	Nufip	-
hoip	eIF3-S9	+
hoip	BubR1	+
Crk	C3G	+
Nnp-1	Rbm13	+
Nnp-1	CG7845	+
Nnp-1	CG8801	+
Uba2	Aos1	+
Uba2	2-Sep	-
Aos1	Prosbeta1	+
CG13041	CG33017	-
Hsp83	blw	+
Hsp83	Nelf-E	+
Hsp83	Df31	-
Hsp83	Hop	+
Hsp83	Neto	+
Hsp83	Nacalpha	+
Hsp83	DNApol-alpha180	+
Hsp83	CG31999	-
Hsp83	ATPsyn-beta	+
Hsp83	Arf79F	+
Hsp83	CG3335	+
CG7967	CG9527	+
CG7967	Xbp1	-
Coprox	Jafrac2	-
CG8247	CG9173	-
Dr	CG9986	+
Usp7	CG43896	+
Usp7	CG4973	-
Kr-h2	Sc2	-
Kr-h2	CG8602	-
sip3	Arr1	+
Atg8a	RpII33	-
Atg8a	Atg7	+
drongo	fu2	+
Gfat2	CG33303	+
blanks	Tep2	+
Rpn7	Rpn5	+
Rpn7	Rpn12	+
Rpn7	Rpn2	+
Rpn7	Rpn1	+
Rpn7	CG6415	+
Rpn7	CG17331	+
Rpn7	Pros35	+
Rpn7	Rpn3	+
Rpn7	Pros29	+
Rpn7	Rpn6	+
Rpn7	Pros25	+
Rpn7	Rpn11	+
Rpn7	Prosbeta7	+
Rpn7	Prosbeta5	+
Rpn7	Rpn9	+
CG6674	CG4849	-
l(2)37Cc	CoIV	+
l(2)37Cc	Ost48	+
l(2)37Cc	CG14005	-
l(2)37Cc	CG5846	+
l(2)37Cc	CG1354	+
l(2)37Cc	l(2)03709	+
fs(2)ltoPP43	CG7386	-
fs(2)ltoPP43	CG3281	+
Art1	pAbp	-
eEF1delta	CG16817	+
eEF1delta	RpL10Ab	+
eEF1delta	TER94	+
Arp3	Arpc2	+
Cpr47Ef	CG6767	-
RhoGAP5A	SAK	+
MtnB	CG13192	+
CG2070	CG31729	+
CG2070	bbc	-
CG2070	ZnT63C	+
CG32812	NFAT	+
Rab1	Sucb	+
Rab1	Gie	-
Rab1	KdelR	+
Rab1	Gale	+
Rab1	CG33303	+
CG14767	CG32138	+
mav	tkv	+
mav	sax	+
Slc45-1	CG6769	-
CG14921	CG2116	+
Pros35	TER94	+
Pros35	Pros29	+
CG3224	SC35	-
CG3224	CG6724	+
gce	CG5792	-
spri	Rac2	-
hipk	arm	+
Cad86C	Tpc1	-
CG2116	Ef2b	-
CG2116	RpL3	+
CG2116	CG3605	-
Set1	wds	+
Set1	ash2	-
Set1	RpII215	+
Hsc70Cb	flr	+
Hsc70Cb	kdn	+
Hsc70Cb	TER94	+
Hsc70Cb	Nacalpha	+
CG17732	lig3	-
CG17732	CycK	+
CG17732	tws	-
CG17732	rev7	-
CG17732	lwr	+
CG7386	bur	+
CG7386	CG7911	+
CG7386	CG9797	+
CG7386	Pde9	+
Lim3	CG6972	-
Lim3	Pp2A-29B	+
Lim3	CSN8	-
Mst98Ca	CG13159	+
